queue_label,queue_path,utt_id,target_direction,action_family,review_status,effect_audible_raw,direction_correct_raw,artifact_issue_raw,strength_fit_raw,keep_recommendation_raw,effect_audible_norm,direction_correct_norm,artifact_issue_norm,strength_fit_norm,keep_recommendation_norm,direction_source,artifact_source,strength_source,keep_source,review_notes
stage0_speech_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\listening_review_queue.csv,1919_142785_000089_000003,masculine,brightness_down,reviewed,no,,,,,no,n/a,n/a,n/a,n/a,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,
stage0_speech_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\listening_review_queue.csv,1995_1826_000022_000000,masculine,brightness_down,reviewed,no,,,,,no,n/a,n/a,n/a,n/a,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,
stage0_speech_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\listening_review_queue.csv,174_50561_000024_000000,feminine,brightness_up,reviewed,no,,,,,no,n/a,n/a,n/a,n/a,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,
stage0_speech_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\listening_review_queue.csv,2086_149214_000006_000002,feminine,brightness_up,reviewed,no,,,,,no,n/a,n/a,n/a,n/a,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,
stage0_speech_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\listening_review_queue.csv,p231_011_mic1,masculine,brightness_down,reviewed,no,,,,,no,n/a,n/a,n/a,n/a,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,
stage0_speech_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\listening_review_queue.csv,p230_107_mic1,masculine,brightness_down,reviewed,no,,,,,no,n/a,n/a,n/a,n/a,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,
stage0_speech_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\listening_review_queue.csv,p241_005_mic1,feminine,brightness_up,reviewed,no,,,,,no,n/a,n/a,n/a,n/a,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,
stage0_speech_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_listening_pack\v1\listening_review_queue.csv,p226_011_mic1,feminine,brightness_up,reviewed,no,,,,,no,n/a,n/a,n/a,n/a,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,
stage0_speech_resonance_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_resonance_listening_pack\v1\listening_review_queue.csv,1919_142785_000089_000003,masculine,brightness_down,reviewed,no,,,,,no,n/a,n/a,n/a,n/a,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,
stage0_speech_resonance_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_resonance_listening_pack\v1\listening_review_queue.csv,1995_1826_000022_000000,masculine,brightness_down,reviewed,no,,,,,no,n/a,n/a,n/a,n/a,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,
stage0_speech_resonance_listening_pack/v1,F:\proj_dev\tmp\workdir4-2\artifacts\listening_review\stage0_speech_resonance_listening_pack\v1\listening_review_queue.csv,174_50561_000024_000000,feminine,brightness_up,reviewed,no,,,,,no,n/a,n/a,n/a,n/a,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,not_required_for_subtle_or_unclear_change,
